"","Notes.F.S.","flag","ID","taxonomy.genus","taxonomy.sp","taxonomy.subsp","taxonomy.orig_genus","taxonomy.sp_author","taxonomy.gen_author","taxonomy.orig_sp","taxonomy.subgen","taxonomy.gen_status","taxonomy.sp_status","ref.pic","cephalon","cranidium","pygidum","morphology.eyes","morphology.ontogeny","geography.locality","geography.country","geography.lat","geography.long","geography.state","geography.county","stratigraphy.formation","stratigraphy.min_age","stratigraphy.max_age","stratigraphy.ref_age","stratigraphy.basin","stratigraphy.environment","enterer.metadata","enterer.landmark","enterer.date"
"174",NA,"x","NYSM_9848","Huntoniatonia","Huntoniatonia nasuta",NA,"Asaphus","Conrad 1841","Jell and Adrain 2003","nasutus",NA,NA,NA,"Delo 1940",TRUE,NA,NA,TRUE,"holaspis","Schoharie","United States",42.6669019712149,-74.3147691424925,"New York",NA,NA,"Lower Devonian",NA,"Delo 1940",NA,NA,NA,NA,NA
"175",NA,"x","SBNM_663-66","Voigtaspis","Voigtaspis veleslavini",NA,"Cornuproetus (Cornuproetus)","Pribyl 1969","Alberti 1967","veleslavini",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Koneprusy Limestone","Morocco",33.5035018372434,-7.30258795334155,NA,NA,NA,"Pragian",NA,"Snajdr 1980","Bohemia",NA,NA,NA,NA
"176",NA,"x","SBNM_786-66","Denemarkia","Denemarkia frontalis",NA,"Proetus","Hawle and Corda 1847","Pribyl 1946","frontalis",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Koneprusy Limestone","Morocco",33.5035018372434,-7.30258795334155,NA,NA,NA,"Pragian",NA,"Snajdr 1980","Bohemia",NA,NA,NA,NA
"178",NA,"x","SBNM_IT_176","Myoproetus","Myoproetus myops",NA,"Proetus","Barrande 1846","Snajdr 1976","myops",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Koneprusy","Czech Republic",49.266,14.065,"Central Bohemia","Beroun","Acanthopyge Limestone","Emsian",NA,"Snajdr 1980","Barrandian area","carbonate",NA,NA,NA
"179",NA,"x","SBNM_IT_177","Unguliproetus","Unguliproetus unguloides",NA,"Proetus","Barrande 1846","Erben 1951","unguloides",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Menany","Czech Republic",49.91,14.117,"Central Bohemia",NA,"Suchomasty Limestone","Emsian",NA,"Snajdr 1980","Barrandian area","carbonate",NA,NA,NA
"180","Lochkovian - Pragian","to.inc.lochkovian","SBNM_IT_240","Decoroproetus","Decoroproetus coderus",NA,"Proetus","Snajdr 1980","Pribyl 1946","decorus [partim.]",NA,NA,NA,"Snajdr 1980",TRUE,NA,TRUE,NA,"holaspis","Lodenice","Czech Republic",49.266,14.065,"Central Bohemia","Beroun","Liten Formation","Wenlock",NA,"Snajdr 1980","Barrandian area","carbonate",NA,NA,NA
"182",NA,"x","SBNM-CF_1019","Centriproetus","Centriproetus concentricus",NA,"Proetus (Decoroproetus)","Pribyl 1949","Snajdr 1977","concentricus",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Prokop Limestone","Morocco",33.5035018372434,-7.30258795334155,NA,NA,NA,"Lochkovian",NA,"Snajdr 1980",NA,NA,NA,NA,NA
"183",NA,"x","SBNM-IT_212","Xiphogonium","Xiphogonium loveni",NA,"Proetus","Barrande 1846","Hawle and Corda 1847","lovenii",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Zlichov Limestone","Morocco",33.5035018372434,-7.30258795334155,"Hostom",NA,NA,"Eifelian",NA,"Snajdr 1980",NA,NA,NA,NA,NA
"184","Lochkovian","to.inc.lochkovian","SBNM-IT_257","Prionopeltis","Prionopeltis striata",NA,"Phaeton","Barrande 1846","Hawle and Corda 1847","striatus",NA,NA,NA,"Snajdr 1980",TRUE,NA,NA,TRUE,"holaspis","Dlouha hora","Czech Republic",50.7900453712045,14.9235883462869,"Prague",NA,"Pridoli Formation","Pridoli",NA,"Snajdr 1980",NA,NA,NA,NA,NA
"187",NA,"x","SMF_79804","Acastoides","Acastoides paeckelmanni",NA,"Acaste (Acastoides)","Richter and Richter 1939","Delo 1935","paeckelmanni",NA,"?",NA,"Basse 2003",TRUE,NA,NA,TRUE,"holaspis","Pendik","Turkey",40.8929660525361,29.2791997054736,NA,NA,NA,"Emsian",NA,"Basse 2003",NA,NA,NA,NA,NA
"188",NA,"x","SMF_88192","Kettneraspis","Kettneraspis elliptica",NA,NA,"Burmeister 1843","Prantl and Pribyl 1949",NA,NA,NA,NA,"Van Viersen and Heising 2015",TRUE,NA,NA,TRUE,"holaspis","Gees","Germany",50.220476392588,6.69704978295352,NA,NA,"Ahrdorf Formation","Eifelian",NA,NA,NA,NA,NA,NA,NA
"189",NA,"x","SMF39104","Digonus","Digonus ornatus ornatus",NA,"Homalonotus","Koch 1883","Gurich 1909","ornatus",NA,NA,NA,"Wenndorf 1990",TRUE,NA,NA,TRUE,"holaspis","Oberstadtfeld","Germany",50.1789577288092,6.7531003599793,NA,NA,"Unterems Gladbachschisten","Lower Devonian",NA,"Wenndorf 1990",NA,"siliciclastic",NA,NA,NA
"190",NA,"x","UA_14327","Kolihapeltis","Kolihapeltis chlupaci",NA,NA,"Snajdr 1960","Prantl and Pribyl 1947",NA,NA,NA,NA,"Feist and Chatterton 2015",TRUE,NA,TRUE,TRUE,"holaspis","Hamar Laghdad III","Morocco",31.379,-4.064,"Draa Tafilalet","ErrachidAa","Kess Kess Formation","Pragian",NA,"Feist Chatterton 2011","Morocco",NA,NA,NA,NA
"191",NA,"x","Ulg_2011_11_16","Ohleum","Ohleum magreani",NA,"Ohleum","Taghon et al 2012","Basse 1998","cf. eurydice",NA,NA,NA,"Taghon et al 2012",TRUE,NA,NA,TRUE,"holaspis","Couvin","Belgium",50.0507371549042,4.49756761846332,NA,NA,"Jemelle Formation","Eifelian",NA,NA,"Namur Dinant Basin","carbonate",NA,NA,NA
"192",NA,"x","UMC_IP333","Cyrtosymbole","Cyrtosymbole escoti",NA,"Dechenella","Von Koenen 1886","Richter 1912","escoti",NA,NA,NA,"Feist and Lerosey-Aubril 2005",TRUE,NA,NA,TRUE,"early holaspis","Cabriires village","France",43.8865359713674,5.15024931734429,NA,"Vaucluse","Griotte Limestone Formation","Famennian",NA,NA,"Montagne Noire","carbonate",NA,NA,NA
"193",NA,"x","UMMP_31317","Anchiopsis","Anchiopsis anchiops",NA,"Calymene","Green 1832","Delo 1935","anchiops",NA,NA,NA,"Stumm 1954",TRUE,NA,NA,TRUE,"holaspis","Southwest Ontario","United States",34.8937467742784,-118.553081452521,"Ontario",NA,"Bois Blanc Formation","Middle Devonian",NA,"Stumm 1954",NA,NA,NA,NA,NA
"194",NA,"x","USNMPAL_373954","Francovichia","Francovichia branisi",NA,"Francovichia","Wolfart 1968","Branisa and Vanek 1973","francovichi",NA,NA,NA,"Branisa 1965",TRUE,NA,NA,TRUE,"holaspis","Limabamba","Bolivia",-19.5333619622509,-64.3666662948223,"Prov Tomina","Depto. Chuquisaca",NA,"Emsian",NA,"Branisa 1965",NA,NA,NA,NA,NA
"195",NA,"x","WAM_07301","Palpebralia","Palpebralia initialis",NA,"Palpebralia","Feist and McNamara 2013","Richter and Richter 1927","initialis",NA,NA,NA,"Feist and McNamara 2013",TRUE,NA,NA,TRUE,"holaspis","Windy Knolls","Australia",-31.0749985857783,116.180387602821,"Western Australia",NA,"Virgin Hills Formation","Frasnian",NA,"Feist and McNamara 2013","Canning basin","carbonate",NA,NA,NA
"197",NA,"lm.miss","WAM_1140","Rudybole","Rudybole adorfensis",NA,"Drevermania","Richter 1912","Feist and McNamara 2013","adorfensis",NA,NA,NA,"Feist and McNamara 2013",TRUE,NA,NA,TRUE,"holaspis","Horse Spring","Australia",-16.3583289493778,130.965675572865,"Western Australia",NA,"Virgin Hills Formation","Frasnian",NA,"Feist and McNamara 2013","Canning basin",NA,NA,NA,NA
"199","Lochkovian - Famennian","to.inc.lochkovian","YPM_33805","Proetus","Proetus latifrons",NA,"Forbesia","McCoy 1846","Steininger 1831","latifrons",NA,NA,NA,"Lieberman 1994",TRUE,NA,NA,TRUE,"holaspis","Dudley","England",52.5160182594989,-2.09428116523503,NA,"West Midlands","Coalbrookdale Formation","Wenlock",NA,"Owens 1973",NA,NA,NA,NA,NA
"201",NA,"x","WAM-07.286","Acuticryphops","Acuticryphops acuticeps",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,-18.721917,126.016389,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"202",NA,"x","UM-IP-894","Acutiphacops","Acutiphacops medius",NA,NA,NA,NA,NA,NA,NA,NA,"Feist and Klapper 2022",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,43.556786,3.355572,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"204",NA,"x","NHMM-2016-007","Adrisiops","Adrisiops weugi",NA,NA,NA,NA,NA,NA,NA,NA,"VanViersen et al 2017b",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,31.012406,-5.067447,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"205",NA,"lm.miss","Alberti_1983-7.87","Afrops","Afrops larvifer",NA,NA,NA,NA,NA,NA,NA,NA,"Alberti 1983",TRUE,TRUE,NA,NA,"holaspis",NA,NA,31.924133,-1.840125,NA,NA,NA,"Pragian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"206",NA,"x","Maksimova-1978-2.1b","Ainasuella","Ainasuella ainasuensis",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1978",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Lochkovian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"207","(Valentine => no information)","no.age","Maksimova-1978-2.3b","Altaesajania","Altaesajania primitiva",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1978",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"208",NA,"no.devo","NM-9324","Ananaspis","Ananaspis fecunda fecunda",NA,NA,NA,NA,NA,NA,NA,NA,"Chlupac 1977",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Ludlow",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"209",NA,"lm.miss","Maksimova-1968-20.2","Angulophacops","Angulophacops angulatus",NA,NA,NA,NA,NA,NA,NA,NA,"Maksimova 1968",TRUE,TRUE,TRUE,NA,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"210",NA,"x","SMF-24603","Arduennops","Arduennops michelsi",NA,NA,NA,NA,NA,NA,NA,NA,"Franke 2010",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,49.964306,5.928778,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"212",NA,"x","UA-6884","Austerops","Austerops kermiti",NA,NA,NA,NA,NA,NA,NA,NA,"McKellar and Chatterton 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.83925,-4.882972,NA,NA,NA,"Eifelian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"213",NA,"x","WAM-07.273","Babinops","Babinops minor",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,NA,NA,NA,NA,NA,"Famennian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"214",NA,"x","UA-6897","Boeckops","Boeckops stelcki",NA,NA,NA,NA,NA,NA,NA,NA,"McKellar and Chatterton 2009",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,30.796667,-4.905639,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"215",NA,"x","Becker-etal_2017-4d","Burtonops","Burtonops cristatus",NA,NA,NA,NA,NA,NA,NA,NA,"Becker et al 2017",TRUE,TRUE,NA,TRUE,"holaspis",NA,NA,41.176972,-74.296833,NA,NA,NA,"Emsian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
"216",NA,"x","UM-IP-712","Chlupacops","Chlupacops laticeps",NA,NA,NA,NA,NA,NA,NA,NA,"Feist et al 2016",TRUE,TRUE,TRUE,TRUE,"holaspis",NA,NA,29.958778,-2.102167,NA,NA,NA,"Frasnian",NA,NA,NA,NA,"VB, CM","VB","03/01/2023"
